startTime,settlementDate,fuelType,actual_generation,cutoff_time,publishTime,forecast_generation,effective_horizon_hours,error_mw,abs_error_mw
2024-01-01 00:00:00+00:00,2024-01-01,WIND,10402,2023-12-31 20:00:00+00:00,,,,,
2024-01-01 00:30:00+00:00,2024-01-01,WIND,10845,2023-12-31 20:30:00+00:00,,,,,
2024-01-01 01:00:00+00:00,2024-01-01,WIND,11218,2023-12-31 21:00:00+00:00,,,,,
2024-01-01 01:30:00+00:00,2024-01-01,WIND,11223,2023-12-31 21:30:00+00:00,,,,,
2024-01-01 02:00:00+00:00,2024-01-01,WIND,11234,2023-12-31 22:00:00+00:00,,,,,
2024-01-01 02:30:00+00:00,2024-01-01,WIND,11437,2023-12-31 22:30:00+00:00,,,,,
2024-01-01 03:00:00+00:00,2024-01-01,WIND,11434,2023-12-31 23:00:00+00:00,,,,,
2024-01-01 03:30:00+00:00,2024-01-01,WIND,11445,2023-12-31 23:30:00+00:00,,,,,
2024-01-01 04:00:00+00:00,2024-01-01,WIND,11828,2024-01-01 00:00:00+00:00,,,,,
2024-01-01 04:30:00+00:00,2024-01-01,WIND,11878,2024-01-01 00:30:00+00:00,,,,,
2024-01-01 05:00:00+00:00,2024-01-01,WIND,12037,2024-01-01 01:00:00+00:00,,,,,
2024-01-01 05:30:00+00:00,2024-01-01,WIND,12011,2024-01-01 01:30:00+00:00,,,,,
2024-01-01 06:00:00+00:00,2024-01-01,WIND,12044,2024-01-01 02:00:00+00:00,,,,,
2024-01-01 06:30:00+00:00,2024-01-01,WIND,12183,2024-01-01 02:30:00+00:00,,,,,
2024-01-01 07:00:00+00:00,2024-01-01,WIND,12303,2024-01-01 03:00:00+00:00,,,,,
2024-01-01 07:30:00+00:00,2024-01-01,WIND,12307,2024-01-01 03:30:00+00:00,,,,,
2024-01-01 08:00:00+00:00,2024-01-01,WIND,12361,2024-01-01 04:00:00+00:00,,,,,
2024-01-01 08:30:00+00:00,2024-01-01,WIND,12218,2024-01-01 04:30:00+00:00,,,,,
2024-01-01 09:00:00+00:00,2024-01-01,WIND,12017,2024-01-01 05:00:00+00:00,,,,,
2024-01-01 09:30:00+00:00,2024-01-01,WIND,11817,2024-01-01 05:30:00+00:00,,,,,
2024-01-01 10:00:00+00:00,2024-01-01,WIND,11379,2024-01-01 06:00:00+00:00,,,,,
2024-01-01 10:30:00+00:00,2024-01-01,WIND,10932,2024-01-01 06:30:00+00:00,,,,,
