dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-03-15T11:30:00Z,2026-03-15 11:00:00+00:00,2026-03-15,23,WIND,14997
FUELHH,2026-03-15T11:00:00Z,2026-03-15 10:30:00+00:00,2026-03-15,22,WIND,14688
FUELHH,2026-03-15T10:30:00Z,2026-03-15 10:00:00+00:00,2026-03-15,21,WIND,14722
FUELHH,2026-03-15T10:00:00Z,2026-03-15 09:30:00+00:00,2026-03-15,20,WIND,14834
FUELHH,2026-03-15T09:30:00Z,2026-03-15 09:00:00+00:00,2026-03-15,19,WIND,15012
FUELHH,2026-03-15T09:00:00Z,2026-03-15 08:30:00+00:00,2026-03-15,18,WIND,14620
FUELHH,2026-03-15T08:30:00Z,2026-03-15 08:00:00+00:00,2026-03-15,17,WIND,13809
FUELHH,2026-03-15T08:00:00Z,2026-03-15 07:30:00+00:00,2026-03-15,16,WIND,13107
FUELHH,2026-03-15T07:30:00Z,2026-03-15 07:00:00+00:00,2026-03-15,15,WIND,12165
FUELHH,2026-03-15T07:00:00Z,2026-03-15 06:30:00+00:00,2026-03-15,14,WIND,11426
FUELHH,2026-03-15T06:30:00Z,2026-03-15 06:00:00+00:00,2026-03-15,13,WIND,10767
FUELHH,2026-03-15T06:00:00Z,2026-03-15 05:30:00+00:00,2026-03-15,12,WIND,9933
FUELHH,2026-03-15T05:30:00Z,2026-03-15 05:00:00+00:00,2026-03-15,11,WIND,9350
FUELHH,2026-03-15T05:00:00Z,2026-03-15 04:30:00+00:00,2026-03-15,10,WIND,8984
FUELHH,2026-03-15T04:30:00Z,2026-03-15 04:00:00+00:00,2026-03-15,9,WIND,8510
FUELHH,2026-03-15T04:00:00Z,2026-03-15 03:30:00+00:00,2026-03-15,8,WIND,8185
FUELHH,2026-03-15T03:30:00Z,2026-03-15 03:00:00+00:00,2026-03-15,7,WIND,7456
FUELHH,2026-03-15T03:00:00Z,2026-03-15 02:30:00+00:00,2026-03-15,6,WIND,6767
FUELHH,2026-03-15T02:30:00Z,2026-03-15 02:00:00+00:00,2026-03-15,5,WIND,6348
FUELHH,2026-03-15T02:00:00Z,2026-03-15 01:30:00+00:00,2026-03-15,4,WIND,5988
FUELHH,2026-03-15T01:30:00Z,2026-03-15 01:00:00+00:00,2026-03-15,3,WIND,5846
FUELHH,2026-03-15T01:00:00Z,2026-03-15 00:30:00+00:00,2026-03-15,2,WIND,5845
FUELHH,2026-03-15T00:30:00Z,2026-03-15 00:00:00+00:00,2026-03-15,1,WIND,5674
