startTime,settlementDate,fuelType,generation
2024-01-01 00:00:00+00:00,2024-01-01,WIND,10402
2024-01-01 00:30:00+00:00,2024-01-01,WIND,10845
2024-01-01 01:00:00+00:00,2024-01-01,WIND,11218
2024-01-01 01:30:00+00:00,2024-01-01,WIND,11223
2024-01-01 02:00:00+00:00,2024-01-01,WIND,11234
2024-01-01 02:30:00+00:00,2024-01-01,WIND,11437
2024-01-01 03:00:00+00:00,2024-01-01,WIND,11434
2024-01-01 03:30:00+00:00,2024-01-01,WIND,11445
2024-01-01 04:00:00+00:00,2024-01-01,WIND,11828
2024-01-01 04:30:00+00:00,2024-01-01,WIND,11878
2024-01-01 05:00:00+00:00,2024-01-01,WIND,12037
2024-01-01 05:30:00+00:00,2024-01-01,WIND,12011
2024-01-01 06:00:00+00:00,2024-01-01,WIND,12044
2024-01-01 06:30:00+00:00,2024-01-01,WIND,12183
2024-01-01 07:00:00+00:00,2024-01-01,WIND,12303
2024-01-01 07:30:00+00:00,2024-01-01,WIND,12307
2024-01-01 08:00:00+00:00,2024-01-01,WIND,12361
2024-01-01 08:30:00+00:00,2024-01-01,WIND,12218
2024-01-01 09:00:00+00:00,2024-01-01,WIND,12017
2024-01-01 09:30:00+00:00,2024-01-01,WIND,11817
2024-01-01 10:00:00+00:00,2024-01-01,WIND,11379
2024-01-01 10:30:00+00:00,2024-01-01,WIND,10932
2024-01-01 11:00:00+00:00,2024-01-01,WIND,10679
2024-01-01 11:30:00+00:00,2024-01-01,WIND,10217
2024-01-01 12:00:00+00:00,2024-01-01,WIND,9828
2024-01-01 12:30:00+00:00,2024-01-01,WIND,9548
2024-01-01 13:00:00+00:00,2024-01-01,WIND,8874
2024-01-01 13:30:00+00:00,2024-01-01,WIND,8495
2024-01-01 14:00:00+00:00,2024-01-01,WIND,8058
2024-01-01 14:30:00+00:00,2024-01-01,WIND,8098
2024-01-01 15:00:00+00:00,2024-01-01,WIND,8162
2024-01-01 15:30:00+00:00,2024-01-01,WIND,8058
2024-01-01 16:00:00+00:00,2024-01-01,WIND,8634
2024-01-01 16:30:00+00:00,2024-01-01,WIND,9091
2024-01-01 17:00:00+00:00,2024-01-01,WIND,9204
2024-01-01 17:30:00+00:00,2024-01-01,WIND,9290
2024-01-01 18:00:00+00:00,2024-01-01,WIND,9665
2024-01-01 18:30:00+00:00,2024-01-01,WIND,10443
2024-01-01 19:00:00+00:00,2024-01-01,WIND,11212
2024-01-01 19:30:00+00:00,2024-01-01,WIND,12055
2024-01-01 20:00:00+00:00,2024-01-01,WIND,12519
2024-01-01 20:30:00+00:00,2024-01-01,WIND,13279
2024-01-01 21:00:00+00:00,2024-01-01,WIND,13953
2024-01-01 21:30:00+00:00,2024-01-01,WIND,13845
2024-01-01 22:00:00+00:00,2024-01-01,WIND,14217
2024-01-01 22:30:00+00:00,2024-01-01,WIND,14306
2024-01-01 23:00:00+00:00,2024-01-01,WIND,14958
2024-01-01 23:30:00+00:00,2024-01-01,WIND,14666
2024-01-02 00:00:00+00:00,2024-01-02,WIND,14690
2024-01-02 00:30:00+00:00,2024-01-02,WIND,14510
2024-01-02 01:00:00+00:00,2024-01-02,WIND,14592
2024-01-02 01:30:00+00:00,2024-01-02,WIND,14388
2024-01-02 02:00:00+00:00,2024-01-02,WIND,14032
2024-01-02 02:30:00+00:00,2024-01-02,WIND,13748
2024-01-02 03:00:00+00:00,2024-01-02,WIND,13403
2024-01-02 03:30:00+00:00,2024-01-02,WIND,13232
2024-01-02 04:00:00+00:00,2024-01-02,WIND,13245
2024-01-02 04:30:00+00:00,2024-01-02,WIND,13041
2024-01-02 05:00:00+00:00,2024-01-02,WIND,12635
2024-01-02 05:30:00+00:00,2024-01-02,WIND,12711
2024-01-02 06:00:00+00:00,2024-01-02,WIND,12764
2024-01-02 06:30:00+00:00,2024-01-02,WIND,12323
2024-01-02 07:00:00+00:00,2024-01-02,WIND,11925
2024-01-02 07:30:00+00:00,2024-01-02,WIND,11711
2024-01-02 08:00:00+00:00,2024-01-02,WIND,11866
2024-01-02 08:30:00+00:00,2024-01-02,WIND,12035
2024-01-02 09:00:00+00:00,2024-01-02,WIND,11505
2024-01-02 09:30:00+00:00,2024-01-02,WIND,10760
2024-01-02 10:00:00+00:00,2024-01-02,WIND,10399
2024-01-02 10:30:00+00:00,2024-01-02,WIND,9546
2024-01-02 11:00:00+00:00,2024-01-02,WIND,8795
2024-01-02 11:30:00+00:00,2024-01-02,WIND,8667
2024-01-02 12:00:00+00:00,2024-01-02,WIND,8281
2024-01-02 12:30:00+00:00,2024-01-02,WIND,7557
2024-01-02 13:00:00+00:00,2024-01-02,WIND,7344
2024-01-02 13:30:00+00:00,2024-01-02,WIND,7180
2024-01-02 14:00:00+00:00,2024-01-02,WIND,7249
2024-01-02 14:30:00+00:00,2024-01-02,WIND,7672
2024-01-02 15:00:00+00:00,2024-01-02,WIND,7870
2024-01-02 15:30:00+00:00,2024-01-02,WIND,8115
2024-01-02 16:00:00+00:00,2024-01-02,WIND,8208
2024-01-02 16:30:00+00:00,2024-01-02,WIND,8935
2024-01-02 17:00:00+00:00,2024-01-02,WIND,9635
2024-01-02 17:30:00+00:00,2024-01-02,WIND,9771
