publishTime,startTime,generation,horizon_hours
2024-01-01 02:30:00+00:00,2024-01-01 21:00:00+00:00,9426,18.5
2024-01-01 04:30:00+00:00,2024-01-01 21:00:00+00:00,9432,16.5
2024-01-01 07:30:00+00:00,2024-01-01 21:00:00+00:00,10065,13.5
2024-01-01 09:30:00+00:00,2024-01-01 21:00:00+00:00,10065,11.5
2024-01-01 11:30:00+00:00,2024-01-01 21:00:00+00:00,10072,9.5
2024-01-01 15:30:00+00:00,2024-01-01 21:00:00+00:00,10634,5.5
2024-01-01 18:30:00+00:00,2024-01-01 21:00:00+00:00,11730,2.5
2024-01-01 02:30:00+00:00,2024-01-01 22:00:00+00:00,10572,19.5
2024-01-01 04:30:00+00:00,2024-01-01 22:00:00+00:00,10577,17.5
2024-01-01 07:30:00+00:00,2024-01-01 22:00:00+00:00,11056,14.5
2024-01-01 09:30:00+00:00,2024-01-01 22:00:00+00:00,11058,12.5
2024-01-01 11:30:00+00:00,2024-01-01 22:00:00+00:00,11060,10.5
2024-01-01 15:30:00+00:00,2024-01-01 22:00:00+00:00,11767,6.5
2024-01-01 18:30:00+00:00,2024-01-01 22:00:00+00:00,13120,3.5
2024-01-01 02:30:00+00:00,2024-01-01 23:00:00+00:00,11660,20.5
2024-01-01 04:30:00+00:00,2024-01-01 23:00:00+00:00,11665,18.5
2024-01-01 07:30:00+00:00,2024-01-01 23:00:00+00:00,12221,15.5
2024-01-01 09:30:00+00:00,2024-01-01 23:00:00+00:00,12223,13.5
2024-01-01 11:30:00+00:00,2024-01-01 23:00:00+00:00,12223,11.5
2024-01-01 15:30:00+00:00,2024-01-01 23:00:00+00:00,13017,7.5
2024-01-01 18:30:00+00:00,2024-01-01 23:00:00+00:00,14419,4.5
2024-01-01 22:30:00+00:00,2024-01-01 23:00:00+00:00,14426,0.5
2024-01-01 02:30:00+00:00,2024-01-02 00:00:00+00:00,12849,21.5
2024-01-01 04:30:00+00:00,2024-01-02 00:00:00+00:00,12854,19.5
2024-01-01 07:30:00+00:00,2024-01-02 00:00:00+00:00,13443,16.5
2024-01-01 09:30:00+00:00,2024-01-02 00:00:00+00:00,13445,14.5
2024-01-01 11:30:00+00:00,2024-01-02 00:00:00+00:00,13447,12.5
2024-01-01 15:30:00+00:00,2024-01-02 00:00:00+00:00,14125,8.5
2024-01-01 18:30:00+00:00,2024-01-02 00:00:00+00:00,15361,5.5
2024-01-01 22:30:00+00:00,2024-01-02 00:00:00+00:00,15364,1.5
2024-01-01 02:30:00+00:00,2024-01-02 01:00:00+00:00,13680,22.5
2024-01-01 04:30:00+00:00,2024-01-02 01:00:00+00:00,13681,20.5
2024-01-01 07:30:00+00:00,2024-01-02 01:00:00+00:00,14181,17.5
2024-01-01 09:30:00+00:00,2024-01-02 01:00:00+00:00,14183,15.5
2024-01-01 11:30:00+00:00,2024-01-02 01:00:00+00:00,14186,13.5
2024-01-01 15:30:00+00:00,2024-01-02 01:00:00+00:00,14898,9.5
2024-01-01 18:30:00+00:00,2024-01-02 01:00:00+00:00,15805,6.5
2024-01-01 22:30:00+00:00,2024-01-02 01:00:00+00:00,15807,2.5
2024-01-01 02:30:00+00:00,2024-01-02 02:00:00+00:00,14213,23.5
